step,time_sec,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
17,0.34,0.00123896,0.000400705,1.0622,0.999763,0.000163454,-0.0217885,-0.000105778,-0.00107215,0.000174668,-0.00465312,-0.00155486,-0.00016335,0.00104431,-0.000109231,-0.00456726,-0.00153025,-0.000161913,-1.04209e-05,0.000323192,-5.65063e-06,-1.71786e-06,-5.83924e-05,0.000356045,-4.88924e-06,-4.69389e-06,-5.63213e-05
18,0.36,0.00131534,0.000425541,1.05765,0.999732,0.000172895,-0.0231377,-0.000112563,-0.00115869,-0.000154481,-0.00499265,-0.00166836,-0.000170871,0.00112943,0.000232929,-0.00490015,-0.00164182,-0.000169298,-1.01594e-05,0.000397266,-7.25734e-06,-1.71099e-06,-2.88359e-05,0.000432555,-4.64778e-06,-5.30026e-06,-2.66073e-05
19,0.38,0.00139199,0.000450366,1.05242,0.9997,0.000182305,-0.0244872,-0.000119388,-0.00124072,-0.000507383,-0.00533263,-0.00178036,-0.000152026,0.00121006,0.00059935,-0.00523335,-0.00175191,-0.000150249,-9.68298e-06,0.000474985,-8.46675e-06,-1.54064e-06,3.91551e-06,0.000512916,-4.88907e-06,-6.04732e-06,6.45871e-06
20,0.4,0.00146897,0.000475183,1.04652,0.999666,0.000191693,-0.0258371,-0.000126216,-0.00132664,-0.000881607,-0.00566901,-0.0018928,-0.000154332,0.00129454,0.000987491,-0.00556278,-0.00186232,-0.000152398,-9.18098e-06,0.000559679,-1.02023e-05,-1.48203e-06,3.98675e-05,0.000600177,-4.70209e-06,-6.74624e-06,4.26117e-05
21,0.42,0.00190983,0.000518689,1.04363,0.999581,0.000100191,-0.0289527,-2.92871e-05,-0.00224424,-0.00087253,-0.00458763,0.00726972,0.0193633,0.00227584,0.00132785,-0.00471997,0.00777316,0.0206431,-0.000137537,0.0016901,-0.000108897,-2.7952e-05,0.00122005,0.00179275,-1.62885e-06,-5.16836e-06,0.00123583
22,0.44,0.00224922,0.000640449,1.04263,0.999515,5.79902e-05,-0.0311254,-7.55089e-05,-0.00326399,4.9085e-05,-0.00216164,0.0119817,0.0259221,0.00310942,0.00104872,-0.00216298,0.0117242,0.0256601,-0.000359636,0.0018269,-0.000172878,-3.65515e-05,0.00124016,0.00215301,-8.72022e-05,-3.72354e-05,0.00131881
23,0.46,0.00218834,0.000985205,1.04265,0.999524,6.61138e-05,-0.0308322,-0.000675093,-0.00261895,5.01395e-05,-0.00330152,0.0101949,0.0253854,0.00271299,0.000641094,-0.00235066,0.0103085,0.0267261,-0.000651231,0.00158939,-0.000141118,-5.10057e-05,0.00116381,0.00199992,-6.3755e-05,-4.96475e-05,0.00118894
24,0.48,0.00205038,0.00138322,1.04303,0.999551,0.000448631,-0.0299236,-0.00125326,-0.00255318,-0.00045701,-0.00385898,0.00847877,0.0227734,0.00247276,-0.000446062,-0.00300684,0.00887289,0.0248512,-0.000797691,0.00141691,-0.000124355,-5.26465e-05,0.00104871,0.00189639,-5.45951e-05,-5.19604e-05,0.00107253
25,0.5,0.00194656,0.00173651,1.04333,0.999575,0.000364993,-0.0291353,-0.00124441,-0.00230114,-0.00043094,-0.00419217,0.00730899,0.0206875,0.00230389,-0.000551363,-0.00328785,0.00771568,0.0224982,-0.00078093,0.00128681,-0.000118725,-5.15317e-05,0.000945257,0.00174633,-5.62713e-05,-5.10232e-05,0.000964833
26,0.52,0.00183488,0.00207703,1.04364,0.9996,4.58338e-05,-0.0282695,-0.000952404,-0.00148614,8.04223e-05,-0.00542303,0.00574087,0.0200596,0.00198496,1.40711e-05,-0.00368123,0.00628007,0.0207421,-0.00101096,0.00109103,-0.000134175,-7.39877e-05,0.000921356,0.00156898,-6.53756e-05,-6.51983e-05,0.000881443
27,0.54,0.00173097,0.00240826,1.04389,0.999623,-0.000233768,-0.0274366,-0.000662282,-0.00129012,0.000428397,-0.00687774,0.00439922,0.0199841,0.00187727,0.000463588,-0.00419039,0.0043679,0.0181612,-0.000894301,0.00105053,-6.73908e-05,-6.15895e-05,0.000911121,0.00143816,2.84262e-06,-5.29938e-05,0.000827949
28,0.56,0.00165858,0.00273152,1.04411,0.999643,-0.000485088,-0.0267257,-0.000313478,-0.00130565,0.000673043,-0.00817554,0.00324384,0.0201568,0.00175162,0.000862505,-0.00455998,0.00307306,0.0167363,-0.000617934,0.00112551,2.36429e-05,-3.26131e-05,0.000935254,0.00134467,8.79193e-05,-2.97746e-05,0.000822009
29,0.58,0.00161951,0.00302001,1.04419,0.999657,-0.000611936,-0.0261744,7.9713e-05,-0.00126388,0.000668335,-0.00938359,0.00253035,0.021181,0.00166977,0.000864098,-0.00500026,0.00183446,0.0162051,-0.000301572,0.00127639,0.000130396,5.18578e-06,0.00100805,0.00129539,0.000187646,4.07644e-07,0.000873855
30,0.6,0.00164108,0.00326283,1.04416,0.999664,-0.000666063,-0.0259144,0.000630571,-0.00119289,0.000547055,-0.0102043,0.00215705,0.0225807,0.00161509,0.00069811,-0.00507609,0.00134547,0.0164363,-0.000103638,0.00146023,0.00021723,3.6487e-05,0.00110536,0.00135211,0.000266617,2.14547e-05,0.000961141
31,0.62,0.00173905,0.00345097,1.04401,0.99966,-0.000669164,-0.0260133,0.00133295,-0.00108291,0.000389371,-0.010419,0.00233239,0.0245263,0.00159656,0.000496047,-0.00433869,0.00168785,0.0173235,-5.06317e-06,0.00166896,0.000286282,6.08121e-05,0.00121479,0.00150313,0.000325861,3.27536e-05,0.00106541
32,0.64,0.00192935,0.00358158,1.04368,0.999645,-0.000631554,-0.0265671,0.00213249,-0.00096952,0.000226062,-0.0100688,0.00327332,0.0273232,0.00159876,0.0003336,-0.00242735,0.00302288,0.018728,5.61902e-05,0.00190888,0.000342336,8.00366e-05,0.00133226,0.001726,0.000371773,3.76197e-05,0.00118062
33,0.66,0.00221349,0.00366563,1.04318,0.999614,-0.000596681,-0.0276088,0.0028786,-0.000968643,0.000111511,-0.00886319,0.00526154,0.0306762,0.00158862,0.000270564,-4.37217e-06,0.00511661,0.021139,0.000206373,0.00222446,0.000392177,0.000101983,0.00146848,0.00198359,0.000412503,4.45177e-05,0.00131748
34,0.68,0.00258875,0.00373536,1.04251,0.99957,-0.000529559,-0.0291221,0.0035131,-0.00114326,-7.53127e-05,-0.00675639,0.00829357,0.0343162,0.0015991,6.45176e-05,0.00288313,0.00804893,0.0242742,0.000404479,0.00260264,0.000433672,0.00012461,0.00160896,0.00227488,0.000445549,5.13624e-05,0.00145982
35,0.7,0.00304198,0.00378982,1.04171,0.99951,-0.000446647,-0.0310238,0.00402486,-0.00135681,-0.000282028,-0.00394214,0.0118326,0.0384209,0.00165397,-0.000166842,0.0062224,0.0115849,0.0280342,0.00055707,0.00301955,0.000465275,0.000144943,0.00176361,0.00263502,0.000469255,5.43072e-05,0.00162341
36,0.72,0.00354009,0.00382559,1.04083,0.999441,-0.000352344,-0.0331225,0.00449772,-0.00142754,-0.000660941,-0.000915841,0.0156531,0.0433667,0.00171933,-0.000414662,0.00977783,0.0154164,0.0323459,0.000567402,0.00344441,0.000490176,0.000158951,0.00195219,0.00308284,0.00048679,4.95216e-05,0.0018222
