step,time_sec,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18
24,0.48,0.0290104,0.0395459,-0.000561227,0.0199592,0.0138509,-0.00883357,-0.00361927,-0.00578873,-0.0256106,-0.0394499,-0.0132198,-0.00872889,-0.00190929,-0.00152271,-0.000870296,-0.00550851,-0.00119061,-0.000868274,-0.00335176
25,0.5,0.00398677,0.0180664,0.00765465,0.00152819,-0.00463297,0.00100164,0.00789148,-0.0184371,-0.0138624,-0.0152535,-0.00667836,-0.00324724,-0.000712758,-0.000553829,-0.000330684,-0.000315546,-0.000389098,-0.000353224,-0.000864266
26,0.52,0.000280585,-0.000581365,0.00350545,-0.000876109,-0.00564152,-0.00281019,0.0217566,-0.0284614,-0.0575655,-0.0974082,0.00415779,-0.00171229,0.0024805,0.00046162,-0.00207668,-0.0045023,0.00233561,0.000443382,-0.00333237
27,0.54,-0.000906444,-0.00422931,-0.00804536,-0.0069734,-0.00663293,-0.000754049,0.00901941,-0.0340784,-0.0350586,-0.0305147,0.00255394,-0.000817636,0.00109874,0.000289418,-0.000404246,-0.00289051,0.00111913,0.000347496,-0.000805643
28,0.56,-0.00192787,-0.00821988,-0.0319657,-0.0215927,-0.0115443,0.000609655,-0.00259514,-0.0347537,-0.0301947,-0.0161378,0.00341784,-0.000500436,0.00066659,0.000307916,4.26919e-05,-0.00282786,0.000703872,0.00037159,9.60187e-05
29,0.58,-0.00204671,-0.0104408,-0.0609101,-0.0586548,-0.0421365,-0.00267662,0.00356872,-0.0475764,-0.0506097,-0.0392334,0.00528283,-0.000672314,0.00121591,0.00052345,-0.000321343,-0.00382923,0.00110619,0.000500558,-0.000314945
30,0.6,0.00243013,0.00736695,-0.074107,-0.0676041,-0.0349269,1.50426e-05,-0.0251084,0.0100928,-0.00232274,-0.00413452,0.000181149,-0.00145001,-0.000735079,-0.000100897,-0.000210875,-0.00129011,-0.000801767,-0.000119735,0.000138917
31,0.62,0.00292081,0.0234266,-0.0698513,-0.074816,-0.0352898,-0.0031867,0.0218608,0.0295729,0.00360074,-0.0053442,0.00390013,-6.46658e-05,-0.000116807,0.000107224,-7.16652e-05,-0.00206722,-0.000217881,5.28335e-05,-0.000269466
32,0.64,0.00193043,-0.00120614,-0.0324623,-0.0191865,-0.00368459,-0.00356207,-0.000195624,0.0222504,0.00548398,-0.00325631,0.0065112,0.00132005,0.000779344,0.000377318,-3.68065e-06,-0.00279777,0.000760567,0.00038889,-0.000430903
33,0.66,-0.00480196,-0.00302395,0.0454869,0.0334628,-0.0147919,-0.000390721,0.00821507,0.0215388,0.0163078,-0.00774993,0.00420068,0.00108027,0.000151545,0.000191477,-0.00167822,-0.0012604,9.82633e-05,0.000181061,-0.00170015
34,0.68,0.000872343,-0.00285519,0.0183076,0.00691317,-0.00348304,-0.00014074,0.00398053,0.00598231,0.00168421,-0.00404403,-0.0010392,-0.00030277,-3.18309e-05,-4.47004e-05,-0.00054293,6.97549e-05,-6.75737e-05,-6.13331e-05,-0.000596263
35,0.7,0.000731142,-0.00193512,0.00787185,0.00190394,-0.00336275,0.000107137,0.00213026,0.00125729,-0.000643665,-0.0039141,-0.0012834,-0.000470926,-8.64028e-05,-6.4931e-05,-0.00031565,0.000253281,-0.000115946,-7.92429e-05,-0.000303145
36,0.72,0.000478967,-0.00125435,0.00402563,0.000370481,-0.00329131,6.79609e-05,0.00124182,0.000346062,-0.00101668,-0.00372931,-0.000847351,-0.000354176,-6.09529e-05,-4.23882e-05,-0.00023208,0.000172132,-8.81981e-05,-5.60421e-05,-0.000209764
37,0.74,0.000342552,-0.000828163,0.0024963,-0.000158673,-0.00313706,-1.75147e-05,0.000761971,0.00042364,-0.000939534,-0.00350632,-0.000486309,-0.000236469,-2.99283e-05,-2.15225e-05,-0.000194114,8.3767e-05,-5.61376e-05,-3.50428e-05,-0.000176073
38,0.76,0.000272101,-0.000572738,0.00183279,-0.00033303,-0.00295132,-8.32999e-05,0.000492721,0.000668154,-0.000774213,-0.00327227,-0.000260054,-0.000155741,-8.79004e-06,-8.0756e-06,-0.0001726,2.84481e-05,-3.42469e-05,-2.15413e-05,-0.000159373
39,0.78,-0.00453317,0.0181856,-0.204579,-0.142321,-0.118238,0.0234792,-0.00381609,-0.357966,-0.196662,-0.0926838,-0.0201266,-0.035753,0.000463116,-0.00163629,-0.00739143,-0.0287242,0.003172,0.00106133,-0.00870265
40,0.8,-0.000276831,0.00693162,-0.052227,-0.0309602,-0.0170889,0.0117933,-0.00309765,-0.133871,-0.0603557,-0.0153456,-0.018528,-0.010246,-0.00183814,-0.00131218,0.000704979,-0.00038114,-0.000524237,-0.000536776,0.000833156
41,0.82,0.00145181,0.00282568,-0.00694969,-0.00818454,-0.0115731,0.00530404,-0.00191538,-0.0519338,-0.0238488,-0.00961084,-0.0115582,-0.00462093,-0.00123234,-0.000745457,-0.000183484,0.00215379,-0.000950276,-0.0005939,6.47064e-05
42,0.84,0.00136915,0.00123241,0.00311846,-0.00305014,-0.0105357,0.00228909,-0.00110721,-0.0214907,-0.0111674,-0.00810036,-0.00653126,-0.00263837,-0.000705551,-0.000407419,-0.000626174,0.00134512,-0.000708846,-0.000392134,-0.000440989
43,0.86,0.000911242,0.00054479,0.00379281,-0.0022638,-0.0100207,0.000897497,-0.000618007,-0.00920973,-0.00613352,-0.0073611,-0.00346412,-0.00163311,-0.000390502,-0.000215534,-0.00074523,0.000538762,-0.000455269,-0.000226947,-0.000625352
44,0.88,0.00051634,0.000211041,0.00261087,-0.0024128,-0.00960998,0.000219909,-0.000332736,-0.00371663,-0.00386466,-0.0068757,-0.00167493,-0.00105242,-0.000208126,-0.000105659,-0.000753869,3.838e-05,-0.000284117,-0.000122641,-0.00067817
45,0.9,0.000247902,3.01432e-05,0.00148034,-0.00262154,-0.00921311,-0.000128992,-0.000169266,-0.000983273,-0.00269255,-0.00648908,-0.0006454,-0.000702586,-0.00010193,-4.21952e-05,-0.000730722,-0.000239524,-0.000179355,-6.10376e-05,-0.000682022
46,0.92,8.00055e-05,-7.81447e-05,0.000729077,-0.00271616,-0.00881098,-0.000316726,-7.66666e-05,0.000520364,-0.0019987,-0.0061456,-5.52364e-05,-0.000485249,-3.92857e-05,-5.22385e-06,-0.000700155,-0.000383299,-0.000116449,-2.53332e-05,-0.000667453
47,0.94,-0.00855866,0.0160275,-0.165443,-0.0706848,-0.00872562,0.0179969,0.0362737,-0.250632,-0.0974221,0.041164,-0.0067029,-0.0279922,-0.00425953,-0.00245094,-0.0054763,-0.0276117,-0.000604706,0.000392773,-0.0069502
48,0.96,-0.000973793,-0.0068668,-0.030958,-0.0163498,-0.00599091,0.011565,0.0201826,-0.154327,-0.0665304,0.0222942,-0.0177822,-0.0095962,-0.00130935,-0.00124135,0.000482788,-0.00149934,-2.76534e-05,-0.000503297,-0.000106724
49,0.98,-0.00954058,-0.00690578,-0.0501581,-0.0204639,-0.000244569,0.0146498,0.00374424,-0.121923,-0.0491257,0.0203752,-0.00963728,-0.0103209,-0.00120673,-0.000948379,-0.00193564,-0.00641329,-0.000163436,-0.000108628,-0.00220556
50,1,-0.00334403,-0.00871961,-0.0138141,-0.00512863,-0.00200059,0.00604315,0.00298815,0.0141624,0.0159251,-0.0291994,-0.00380463,-0.00218903,-0.00135274,-0.000470132,-0.00057311,0.000483928,-0.000975139,-0.000260633,-0.000170622
